393,775,4
393,866,3
393,132,2
393,222,4
393,255,4
393,403,3
393,12,5
393,500,4
393,802,3
393,8,3
393,265,4
393,930,3
393,737,2
393,1063,4
393,588,4
393,142,4
393,49,4
393,576,3
393,473,3
393,9,4
393,41,4
393,553,3
393,1179,4
393,544,3
393,239,4
393,720,3
393,1469,3
393,1035,3
393,274,4
393,250,4
393,332,4
393,196,4
393,281,4
393,410,4
393,1028,3
393,237,4
393,926,4
393,1210,3
393,672,3
393,271,3
393,538,3
393,73,4
393,905,3
393,80,3
393,79,4
393,328,5
393,148,4
393,761,4
393,1091,2
393,100,1
393,55,4
393,630,4
393,135,1
393,24,3
393,123,4
393,291,4
393,145,3
393,249,3
393,173,5
393,88,3
393,939,4
393,56,2
393,722,2
393,476,3
393,1468,4
393,686,4
393,342,5
393,248,4
393,497,4
393,1016,5
393,118,4
393,86,2
393,184,4
393,572,4
393,1224,3
393,655,3
393,58,3
393,26,3
393,396,1
393,1178,3
393,578,4
393,270,5
393,70,3
393,369,3
393,628,4
393,315,5
393,87,4
393,125,4
393,210,4
393,22,4
393,364,2
393,65,2
393,732,4
393,940,2
393,824,3
393,143,5
393,398,4
393,763,5
393,318,3
393,4,4
393,575,2
393,241,4
393,302,4
393,451,3
393,153,3
393,1049,4
393,456,3
393,28,4
393,659,4
393,33,3
393,215,4
393,941,4
393,1225,3
393,755,3
393,275,4
393,507,2
393,831,1
393,879,3
393,313,4
393,652,3
393,189,4
393,781,4
393,395,3
393,347,4
393,836,4
393,483,4
393,147,5
393,731,3
393,54,4
393,355,3
393,747,4
393,840,4
393,66,3
393,692,3
393,240,2
393,362,3
393,463,4
393,596,4
393,317,4
393,202,3
393,357,2
393,227,4
393,186,3
393,81,2
393,690,4
393,31,4
393,411,2
393,1228,3
393,394,5
393,541,3
393,367,3
393,349,3
393,550,3
393,1441,3
393,577,4
393,792,1
393,228,3
393,1168,3
393,1139,3
393,272,4
393,721,2
393,77,3
393,1076,3
393,418,3
393,419,4
393,36,3
393,471,4
393,27,4
393,833,4
393,771,3
393,83,4
393,805,2
393,681,3
393,338,2
393,68,4
393,191,3
393,825,4
393,316,5
393,373,4
393,51,4
393,62,4
393,304,4
393,696,4
393,742,4
393,136,5
